"","gene_name","cont_topology","intro_topology","control_trio_min","intro_trio_min"
"2731","Solyc02g079750"," P1P2"," P1P2","P1P2","P1P3"
"2732","Solyc02g079770"," P1P2"," P1P2","P1P2","P2P3"
"2733","Solyc02g079830"," P1P2"," P1P2","P1P2","P1P3"
"2734","Solyc02g079880"," P1P2"," P1P2","P1P3","P1P3"
"2736","Solyc02g079950"," P1P2"," P1P2","P1P3","P2P3"
"2737","Solyc02g079960"," P1P2"," P2P3","P1P2","P1P2"
"2738","Solyc02g079970"," P1P2"," P1P2","P2P3","P1P3"
"2739","Solyc02g080040"," P1P2"," P1P3","P1P2","P1P3"
"2741","Solyc02g080130"," P1P2"," P1P3","P1P3","P2P3"
"2742","Solyc02g080140"," P1P2"," P1P2","P1P3","P1P2"
"2744","Solyc02g080160"," P1P2"," P1P2","P1P3","P1P2"
"2746","Solyc02g080180"," P1P2"," P1P2","P1P3","P1P2"
"2747","Solyc02g080230"," P1P2"," P1P3","P1P3","P2P3"
"2748","Solyc02g080260"," P1P2"," P1P2","P1P3","P1P3"
"2750","Solyc02g080270"," P1P2"," P1P2","P1P2","P1P2"
"2752","Solyc02g080320"," P1P2"," P1P2","P1P2","P1P2"
"2753","Solyc02g080330"," P1P2"," P1P2","P1P3","P2P3"
"2754","Solyc02g080340"," P1P2"," P1P2","P1P2","P1P2"
"2755","Solyc02g080370"," P1P2"," P1P2","P1P3","P1P3"
"2756","Solyc02g080380"," P1P2"," P1P2","P1P3","P2P3"
"2757","Solyc02g080420"," P1P2"," P1P2","P1P3","P1P2"
"2758","Solyc02g080430"," P1P2"," P1P2","P1P2","P1P2"
"2759","Solyc02g080440"," P1P2"," P1P2","P2P3","P1P2"
"2760","Solyc02g080470"," P1P2"," P2P3","P2P3","P2P3"
"2761","Solyc02g080500"," P1P2"," P1P2","P1P3","P1P3"
"2762","Solyc02g080510"," P1P2"," P1P2","P1P2","P1P3"
"2763","Solyc02g080530"," P1P2"," P1P2","P1P2","P2P3"
"2764","Solyc02g080540"," P1P2"," P1P2","P1P2","P1P2"
"2766","Solyc02g080560"," P1P2"," P1P2","P2P3","P2P3"
"2767","Solyc02g080570"," P1P2"," P1P2","P2P3","P1P2"
"2768","Solyc02g080590"," P1P2"," P1P2","P2P3","P1P2"
"2770","Solyc02g080620"," P1P2"," P1P2","P1P3","P1P3"
"2772","Solyc02g080640"," P1P2"," P1P2","P1P2","P2P3"
"2773","Solyc02g080650"," P1P2"," P1P2","P1P2","P2P3"
"2774","Solyc02g080660"," P1P2"," P1P2","P1P2","P1P2"
"2775","Solyc02g080780"," P1P2"," P2P3","P1P2","P1P2"
"2776","Solyc02g080800"," P1P2"," P1P2","P1P2","P1P3"
"2777","Solyc02g080810"," P1P2"," P1P2","P2P3","P1P2"
"2778","Solyc02g080820"," P1P2"," P1P2","P1P2","P1P3"
"2780","Solyc02g080890"," P1P2"," P1P2","P1P2","P1P3"
"2781","Solyc02g080940"," P1P2"," P1P2","P2P3","P1P2"
"2782","Solyc02g080950"," P1P2"," P1P2","P1P2","P1P2"
"2783","Solyc02g080970"," P1P2"," P1P2","P1P3","P1P3"
"2784","Solyc02g080990"," P1P2"," P1P2","P1P2","P1P2"
"2787","Solyc02g081030"," P1P2"," P1P2","P1P3","P2P3"
"2788","Solyc02g081070"," P1P2"," P1P2","P1P3","P1P2"
"2789","Solyc02g081080"," P1P2"," P1P2","P1P2","P1P2"
"2790","Solyc02g081140"," P1P2"," P1P2","P1P2","P1P2"
"2791","Solyc02g081150"," P1P2"," P1P2","P1P3","P1P2"
"2793","Solyc02g081170"," P1P2"," P1P2","P2P3","P2P3"
"2794","Solyc02g081190"," P1P2"," P1P2","P1P2","P1P2"
"2795","Solyc02g081200"," P1P2"," P1P2","P1P2","P2P3"
"2796","Solyc02g081210"," P1P2"," P1P2","P1P2","P2P3"
"2798","Solyc02g081230"," P1P2"," P1P2","P2P3","P1P3"
"2799","Solyc02g081250"," P1P2"," P1P2","P1P3","P1P3"
"2800","Solyc02g081260"," P1P2"," P1P2","P1P3","P2P3"
"2801","Solyc02g081290"," P1P2"," P1P2","P1P2","P1P2"
"2802","Solyc02g081300"," P1P2"," P1P2","P2P3","P1P3"
"2803","Solyc02g081310"," P1P2"," P2P3","P1P3","P1P3"
"2804","Solyc02g081320"," P1P2"," P1P2","P1P3","P2P3"
"2805","Solyc02g081330"," P1P2"," P1P2","P2P3","P1P3"
"2808","Solyc02g081400"," P1P2"," P1P2","P1P2","P1P3"
"2810","Solyc02g081420"," P1P2"," P1P2","P2P3","P1P3"
"2811","Solyc02g081430"," P1P2"," P1P2","P1P2","P2P3"
"2812","Solyc02g081460"," P1P2"," P1P2","P2P3","P2P3"
"2813","Solyc02g081500"," P1P2"," P1P2","P1P2","P2P3"
"2814","Solyc02g081520"," P1P2"," P2P3","P1P2","P1P3"
"2815","Solyc02g081530"," P1P2"," P1P2","P2P3","P2P3"
"2817","Solyc02g081580"," P1P2"," P1P2","P1P3","P1P3"
"2818","Solyc02g081590"," P1P2"," P1P2","P1P2","P1P2"
"2819","Solyc02g081610"," P1P2"," P1P2","P1P3","P2P3"
"2820","Solyc02g081620"," P1P2"," P1P2","P1P2","P1P2"
"2821","Solyc02g081640"," P1P2"," P1P2","P2P3","P1P3"
"2822","Solyc02g081650"," P1P2"," P1P2","P1P3","P2P3"
"2823","Solyc02g081660"," P1P2"," P1P2","P1P3","P2P3"
"2824","Solyc02g081680"," P1P2"," P1P2","P1P2","P1P2"
"2825","Solyc02g081690"," P1P2"," P1P2","P1P2","P2P3"
"2826","Solyc02g081700"," P1P2"," P1P2","P1P3","P1P3"
"2827","Solyc02g081730"," P1P2"," P1P2","P2P3","P1P2"
"2828","Solyc02g081810"," P1P2"," P1P2","P2P3","P2P3"
"2829","Solyc02g081830"," P1P2"," P2P3","P2P3","P2P3"
"2830","Solyc02g081840"," P1P2"," P1P2","P1P2","P1P2"
"2831","Solyc02g081860"," P1P2"," P1P2","P1P3","P1P3"
"2832","Solyc02g081880"," P1P2"," P1P2","P1P3","P1P2"
"2833","Solyc02g081910"," P1P2"," P1P2","P2P3","P1P2"
"2835","Solyc02g081930"," P1P2"," P2P3","P1P2","P1P3"
"2836","Solyc02g081940"," P1P2"," P1P2","P1P2","P2P3"
"2837","Solyc02g081950"," P1P2"," P1P2","P1P3","P2P3"
"2838","Solyc02g081960"," P1P2"," P1P2","P1P2","P1P3"
"2840","Solyc02g081980"," P1P2"," P1P2","P1P2","P2P3"
"2841","Solyc02g082000"," P1P2"," P1P2","P1P3","P2P3"
"2843","Solyc02g082020"," P1P2"," P1P2","P1P2","P2P3"
"2844","Solyc02g082030"," P1P2"," P1P2","P1P3","P1P3"
"2845","Solyc02g082060"," P1P2"," P1P2","P1P3","P2P3"
"2846","Solyc02g082070"," P1P2"," P1P2","P1P2","P1P3"
"2847","Solyc02g082080"," P1P2"," P1P2","P2P3","P2P3"
"2848","Solyc02g082100"," P1P2"," P1P2","P2P3","P2P3"
"2849","Solyc02g082110"," P1P2"," P1P2","P1P2","P2P3"
"2850","Solyc02g082120"," P1P2"," P1P2","P1P3","P1P3"
"2851","Solyc02g082130"," P1P2"," P1P2","P1P2","P1P2"
"2852","Solyc02g082140"," P1P2"," P1P2","P1P2","P2P3"
"2853","Solyc02g082160"," P1P2"," P2P3","P1P3","P2P3"
"2854","Solyc02g082170"," P1P2"," P1P2","P1P2","P1P2"
"2855","Solyc02g082180"," P1P2"," P1P2","P1P3","P1P2"
"2856","Solyc02g082190"," P1P2"," P2P3","P1P2","P1P3"
"2857","Solyc02g082200"," P1P2"," P1P2","P1P3","P1P3"
"2858","Solyc02g082210"," P1P2"," P1P2","P2P3","P2P3"
"2860","Solyc02g082220"," P1P2"," P1P2","P1P2","P1P3"
"2861","Solyc02g082230"," P1P2"," P1P2","P1P2","P1P3"
"2863","Solyc02g082260"," P1P2"," P1P2","P1P2","P1P3"
"2865","Solyc02g082280"," P1P2"," P1P2","P1P2","P2P3"
"2866","Solyc02g082290"," P1P2"," P1P2","P1P2","P2P3"
"2867","Solyc02g082300"," P1P2"," P1P2","P1P2","P1P2"
"2868","Solyc02g082340"," P1P2"," P1P3","P2P3","P1P3"
"2871","Solyc02g082410"," P1P2"," P1P2","P1P2","P1P2"
"2872","Solyc02g082420"," P1P2"," P1P2","P2P3","P1P3"
"2873","Solyc02g082430"," P1P2"," P1P2","P1P3","P1P3"
"2875","Solyc02g082450"," P1P2"," P1P2","P1P2","P2P3"
"2876","Solyc02g082460"," P1P2"," P1P2","P1P2","P1P2"
"2878","Solyc02g082480"," P1P2"," P1P2","P1P3","P1P2"
"2879","Solyc02g082490"," P1P2"," P1P2","P1P3","P1P3"
"2880","Solyc02g082500"," P1P2"," P2P3","P2P3","P1P3"
"2881","Solyc02g082510"," P1P2"," P2P3","P2P3","P1P2"
"2883","Solyc02g082550"," P1P2"," P2P3","P1P2","P2P3"
"2884","Solyc02g082570"," P1P2"," P1P2","P1P3","P1P3"
"2887","Solyc02g082660"," P1P2"," P1P2","P1P3","P2P3"
"2889","Solyc02g082680"," P1P2"," P1P2","P1P3","P1P2"
"2890","Solyc02g082690"," P1P2"," P1P2","P2P3","P1P2"
"2891","Solyc02g082700"," P1P2"," P1P2","P2P3","P2P3"
"2892","Solyc02g082710"," P1P2"," P1P2","P1P2","P1P3"
"2893","Solyc02g082730"," P1P3"," P1P3","P1P3","P1P3"
"2894","Solyc02g082760"," P1P2"," P1P2","P1P2","P2P3"
"2895","Solyc02g082800"," P1P2"," P1P2","P2P3","P1P3"
"2896","Solyc02g082810"," P1P2"," P1P2","P1P3","P1P3"
"2898","Solyc02g082840"," P1P2"," P1P2","P1P3","P1P2"
"2899","Solyc02g082860"," P1P2"," P1P2","P1P2","P1P2"
"2900","Solyc02g082900"," P1P2"," P1P2","P2P3","P1P3"
"2901","Solyc02g082910"," P1P2"," P1P2","P2P3","P2P3"
"2902","Solyc02g082920"," P1P2"," P1P2","P1P2","P2P3"
"2903","Solyc02g082930"," P1P2"," P2P3","P1P2","P1P3"
"2904","Solyc02g082950"," P1P2"," P1P2","P2P3","P1P3"
"2905","Solyc02g082970"," P1P2"," P1P3","P2P3","P1P2"
"2906","Solyc02g083110"," P1P2"," P1P2","P1P2","P2P3"
"2908","Solyc02g083130"," P1P2"," P1P2","P1P3","P1P2"
"2909","Solyc02g083140"," P1P2"," P1P2","P1P2","P1P2"
"2910","Solyc02g083150"," P1P2"," P1P2","P2P3","P1P2"
"2911","Solyc02g083170"," P1P2"," P1P2","P2P3","P2P3"
"2912","Solyc02g083180"," P1P2"," P1P2","P1P3","P1P3"
"2913","Solyc02g083250"," P1P2"," P1P2","P2P3","P1P2"
"2914","Solyc02g083260"," P1P2"," P1P2","P1P3","P2P3"
"2915","Solyc02g083270"," P1P2"," P1P2","P1P3","P1P2"
"2916","Solyc02g083280"," P1P2"," P1P2","P1P2","P1P2"
"2917","Solyc02g083290"," P1P2"," P1P2","P1P3","P1P2"
"2920","Solyc02g083340"," P1P2"," P1P2","P2P3","P1P2"
"2922","Solyc02g083350"," P1P2"," P1P2","P1P2","P1P2"
"2923","Solyc02g083360"," P1P2"," P1P2","P1P2","P1P2"
"2924","Solyc02g083390"," P1P2"," P1P2","P1P2","P2P3"
"2925","Solyc02g083400"," P1P2"," P1P2","P2P3","P2P3"
"2926","Solyc02g083410"," P1P2"," P1P2","P1P3","P1P3"
"2927","Solyc02g083420"," P1P2"," P1P2","P1P3","P1P2"
"2929","Solyc02g083450"," P1P2"," P1P2","P1P2","P1P3"
"2930","Solyc02g083460"," P1P2"," P1P2","P1P2","P1P3"
"2931","Solyc02g083470"," P1P2"," P1P2","P1P2","P1P2"
"2932","Solyc02g083500"," P1P2"," P1P2","P1P2","P1P2"
"2933","Solyc02g083540"," P1P2"," P1P3","P2P3","P1P2"
"2934","Solyc02g083560"," P1P2"," P1P2","P2P3","P1P3"
"2935","Solyc02g083570"," P1P2"," P1P3","P1P3","P1P2"
"2938","Solyc02g083600"," P1P2"," P1P2","P1P2","P1P2"
"2939","Solyc02g083610"," P1P2"," P1P2","P1P2","P1P2"
"2941","Solyc02g083670"," P1P2"," P1P2","P1P3","P2P3"
"2944","Solyc02g083770"," P1P2"," P1P2","P2P3","P2P3"
"2948","Solyc02g083800"," P1P2"," P1P2","P1P2","P1P3"
"2949","Solyc02g083810"," P1P2"," P1P2","P1P3","P2P3"
"2952","Solyc02g083850"," P1P2"," P2P3","P2P3","P1P2"
"2954","Solyc02g083880"," P1P2"," P1P2","P1P2","P2P3"
"2955","Solyc02g083900"," P1P2"," P1P2","P2P3","P1P3"
"2956","Solyc02g083940"," P1P2"," P1P2","P1P2","P1P3"
"2957","Solyc02g083950"," P1P2"," P1P2","P1P2","P2P3"
"2958","Solyc02g083960"," P1P2"," P2P3","P2P3","P1P2"
"2959","Solyc02g083980"," P1P2"," P2P3","P1P2","P1P3"
"2961","Solyc02g084000"," P1P2"," P1P2","P1P3","P2P3"
"2962","Solyc02g084020"," P1P2"," P1P2","P1P3","P1P2"
"2963","Solyc02g084030"," P1P2"," P1P2","P2P3","P1P3"
"2966","Solyc02g084220"," P1P2"," P1P2","P1P3","P2P3"
"2967","Solyc02g084230"," P1P2"," P1P2","P1P3","P1P2"
"2968","Solyc02g084240"," P1P2"," P1P2","P1P2","P1P3"
"2971","Solyc02g084340"," P1P2"," P2P3","P1P2","P1P3"
"2973","Solyc02g084370"," P1P2"," P1P2","P1P3","P2P3"
"2975","Solyc02g084390"," P1P2"," P1P2","P2P3","P1P2"
"2976","Solyc02g084440"," P1P2"," P1P2","P1P2","P2P3"
"2978","Solyc02g084500"," P1P2"," P1P2","P2P3","P1P3"
"2979","Solyc02g084510"," P1P2"," P1P2","P1P2","P1P2"
"2980","Solyc02g084520"," P1P2"," P1P2","P1P2","P1P2"
"2981","Solyc02g084540"," P1P2"," P1P2","P1P2","P2P3"
"2982","Solyc02g084550"," P1P2"," P1P2","P1P3","P1P3"
"2983","Solyc02g084560"," P1P2"," P1P3","P1P3","P2P3"
"2984","Solyc02g084590"," P1P2"," P1P2","P2P3","P1P3"
"2985","Solyc02g084610"," P1P2"," P1P2","P1P2","P1P3"
"2986","Solyc02g084620"," P1P2"," P1P2","P1P2","P1P3"
"2987","Solyc02g084630"," P1P2"," P1P2","P1P2","P2P3"
"2988","Solyc02g084640"," P1P2"," P1P2","P1P2","P2P3"
"2989","Solyc02g084650"," P1P2"," P1P2","P2P3","P2P3"
"2990","Solyc02g084660"," P1P2"," P1P3","P1P3","P2P3"
"2991","Solyc02g084680"," P1P2"," P1P2","P1P2","P1P2"
"2994","Solyc02g084710"," P1P2"," P1P2","P1P3","P1P3"
"2995","Solyc02g084720"," P1P2"," P1P2","P2P3","P1P3"
"2997","Solyc02g084750"," P1P2"," P1P2","P1P2","P2P3"
"2998","Solyc02g084760"," P1P2"," P1P2","P2P3","P1P3"
"2999","Solyc02g084770"," P1P2"," P1P2","P2P3","P1P2"
"3000","Solyc02g084810"," P1P2"," P1P2","P2P3","P1P3"
"3001","Solyc02g084820"," P1P2"," P1P2","P1P3","P1P3"
"3002","Solyc02g084830"," P1P2"," P1P2","P1P2","P1P3"
"3005","Solyc02g084900"," P1P2"," P1P2","P1P2","P1P2"
"3006","Solyc02g084920"," P1P2"," P1P2","P1P2","P1P2"
"3007","Solyc02g084980"," P1P2"," P1P2","P1P2","P2P3"
"3008","Solyc02g085000"," P1P2"," P1P2","P2P3","P2P3"
"3010","Solyc02g085030"," P1P2"," P1P2","P1P2","P1P3"
"3012","Solyc02g085040"," P1P2"," P1P2","P2P3","P2P3"
"3013","Solyc02g085050"," P1P2"," P2P3","P1P2","P2P3"
"3014","Solyc02g085080"," P1P2"," P1P2","P2P3","P2P3"
"3015","Solyc02g085100"," P1P2"," P1P2","P2P3","P1P3"
"3016","Solyc02g085130"," P1P2"," P1P2","P1P2","P1P2"
"3017","Solyc02g085140"," P1P2"," P1P2","P1P3","P1P3"
"3018","Solyc02g085160"," P1P2"," P1P2","P2P3","P2P3"
"3019","Solyc02g085220"," P1P2"," P1P2","P2P3","P1P3"
"3020","Solyc02g085230"," P1P2"," P1P2","P1P2","P1P3"
"3022","Solyc02g085250"," P1P2"," P1P2","P1P2","P2P3"
"3023","Solyc02g085280"," P1P2"," P1P3","P1P3","P1P2"
"3026","Solyc02g085310"," P1P2"," P1P2","P2P3","P1P2"
"3027","Solyc02g085340"," P1P2"," P1P2","P1P2","P1P3"
"3029","Solyc02g085370"," P1P2"," P1P2","P2P3","P1P3"
"3031","Solyc02g085430"," P1P2"," P2P3","P1P3","P1P3"
"3032","Solyc02g085440"," P1P2"," P1P2","P2P3","P2P3"
"3034","Solyc02g085460"," P1P2"," P1P2","P1P3","P1P2"
"3035","Solyc02g085470"," P1P2"," P1P2","P1P3","P1P2"
"3036","Solyc02g085480"," P1P2"," P1P2","P1P2","P1P2"
"3037","Solyc02g085500"," P1P2"," P1P2","P1P2","P2P3"
"3038","Solyc02g085510"," P2P3"," P1P2","P1P3","P2P3"
"3039","Solyc02g085520"," P1P2"," P1P2","P1P2","P2P3"
"3040","Solyc02g085540"," P1P2"," P1P2","P1P3","P1P3"
"3042","Solyc02g085570"," P1P2"," P1P2","P2P3","P1P3"
"3043","Solyc02g085580"," P1P2"," P1P2","P1P2","P1P3"
"3045","Solyc02g085630"," P1P2"," P1P2","P1P3","P2P3"
"3046","Solyc02g085640"," P1P2"," P1P2","P1P3","P2P3"
"3047","Solyc02g085650"," P1P2"," P1P2","P1P3","P2P3"
"3050","Solyc02g085710"," P1P2"," P1P2","P1P3","P2P3"
"3051","Solyc02g085730"," P1P2"," P1P2","P1P3","P1P3"
"3052","Solyc02g085740"," P1P2"," P1P2","P1P2","P2P3"
"3053","Solyc02g085780"," P1P2"," P1P2","P2P3","P2P3"
"3054","Solyc02g085790"," P1P2"," P1P2","P1P2","P1P3"
"3055","Solyc02g085810"," P1P2"," P1P2","P1P2","P2P3"
"3059","Solyc02g085910"," P1P2"," P1P2","P1P2","P1P2"
"3060","Solyc02g085920"," P1P2"," P1P2","P1P3","P1P2"
"3062","Solyc02g086050"," P1P2"," P1P2","P1P3","P2P3"
"3063","Solyc02g086060"," P1P2"," P1P2","P2P3","P1P2"
"3064","Solyc02g086080"," P1P2"," P1P2","P1P2","P1P2"
"3066","Solyc02g086100"," P1P2"," P1P2","P2P3","P1P3"
"3067","Solyc02g086130"," P1P2"," P1P2","P2P3","P1P3"
"3069","Solyc02g086150"," P1P2"," P1P2","P1P2","P2P3"
"3070","Solyc02g086170"," P1P2"," P1P2","P1P3","P2P3"
"3071","Solyc02g086180"," P1P2"," P1P2","P2P3","P1P3"
"3073","Solyc02g086220"," P1P2"," P1P2","P2P3","P2P3"
"3074","Solyc02g086240"," P1P2"," P2P3","P1P3","P1P2"
"3075","Solyc02g086260"," P1P2"," P1P2","P2P3","P1P3"
"3076","Solyc02g086270"," P1P2"," P1P2","P1P3","P1P3"
"3077","Solyc02g086280"," P1P2"," P2P3","P1P2","P1P3"
"3080","Solyc02g086330"," P1P2"," P1P2","P1P3","P1P3"
"3081","Solyc02g086360"," P1P2"," P1P2","P1P2","P2P3"
"3082","Solyc02g086370"," P1P2"," P1P2","P1P2","P2P3"
"3084","Solyc02g086450"," P1P2"," P1P2","P2P3","P1P2"
"3085","Solyc02g086470"," P1P2"," P1P2","P1P3","P1P2"
"3088","Solyc02g086520"," P1P2"," P1P2","P1P3","P1P3"
"3089","Solyc02g086550"," P1P2"," P1P2","P1P2","P1P2"
"3090","Solyc02g086560"," P1P2"," P2P3","P1P2","P1P2"
"3093","Solyc02g086600"," P1P2"," P1P2","P2P3","P2P3"
"3094","Solyc02g086610"," P1P2"," P1P2","P2P3","P1P3"
"3096","Solyc02g086650"," P1P2"," P1P2","P1P3","P1P2"
"3097","Solyc02g086660"," P1P2"," P1P2","P2P3","P2P3"
"3099","Solyc02g086680"," P1P2"," P1P2","P1P2","P1P3"
"3100","Solyc02g086710"," P1P2"," P1P2","P2P3","P2P3"
"3101","Solyc02g086730"," P1P2"," P1P2","P2P3","P1P3"
"3103","Solyc02g086750"," P1P2"," P1P2","P1P3","P2P3"
"3104","Solyc02g086780"," P1P2"," P1P2","P2P3","P1P3"
"3105","Solyc02g086790"," P1P2"," P1P2","P2P3","P1P2"
"3107","Solyc02g086800"," P1P2"," P1P2","P1P3","P2P3"
"3108","Solyc02g086810"," P1P2"," P1P2","P2P3","P1P3"
"3109","Solyc02g086830"," P1P2"," P2P3","P2P3","P2P3"
"3110","Solyc02g086860"," P1P2"," P1P2","P1P2","P1P2"
"3111","Solyc02g086870"," P1P2"," P1P2","P2P3","P1P3"
"3112","Solyc02g086880"," P1P2"," P1P2","P2P3","P1P2"
"3113","Solyc02g086890"," P1P2"," P1P2","P2P3","P1P2"
"3114","Solyc02g086900"," P1P2"," P1P2","P1P2","P2P3"
"3115","Solyc02g086910"," P1P2"," P1P2","P1P2","P2P3"
"3118","Solyc02g086990"," P1P2"," P1P2","P1P3","P1P2"
"3119","Solyc02g087000"," P1P2"," P2P3","P1P2","P1P2"
"3120","Solyc02g087030"," P1P2"," P1P2","P1P3","P2P3"
"3121","Solyc02g087040"," P1P2"," P1P2","P1P3","P1P3"
"3123","Solyc02g087060"," P1P2"," P1P2","P1P3","P2P3"
"3125","Solyc02g087130"," P1P2"," P1P2","P1P2","P1P2"
"3126","Solyc02g087140"," P1P2"," P1P2","P1P2","P2P3"
"3127","Solyc02g087150"," P1P2"," P1P2","P1P3","P1P2"
"3128","Solyc02g087170"," P1P2"," P2P3","P2P3","P1P3"
"3129","Solyc02g087180"," P1P2"," P1P2","P2P3","P1P3"
"3130","Solyc02g087190"," P1P2"," P1P2","P1P3","P1P2"
"3132","Solyc02g087220"," P1P2"," P2P3","P1P3","P2P3"
"3133","Solyc02g087230"," P1P2"," P1P2","P1P3","P1P3"
"3134","Solyc02g087240"," P1P2"," P1P2","P1P2","P2P3"
"3135","Solyc02g087250"," P1P2"," P1P2","P1P2","P1P3"
"3136","Solyc02g087260"," P1P2"," P1P2","P2P3","P1P2"
"3137","Solyc02g087270"," P1P2"," P1P2","P1P2","P1P3"
"3138","Solyc02g087290"," P1P2"," P1P2","P1P3","P1P2"
"3139","Solyc02g087300"," P1P3"," P1P3","P1P3","P2P3"
"3140","Solyc02g087310"," P1P2"," P1P2","P1P3","P1P2"
"3141","Solyc02g087330"," P1P2"," P2P3","P2P3","P1P2"
"3143","Solyc02g087360"," P1P2"," P2P3","P2P3","P1P2"
"3144","Solyc02g087400"," P1P2"," P1P2","P2P3","P2P3"
"3145","Solyc02g087420"," P1P2"," P2P3","P1P2","P2P3"
"3146","Solyc02g087450"," P1P2"," P1P2","P1P2","P2P3"
"3148","Solyc02g087480"," P1P2"," P1P2","P2P3","P1P2"
"3149","Solyc02g087510"," P1P2"," P2P3","P2P3","P1P2"
"3150","Solyc02g087550"," P1P2"," P1P2","P1P2","P1P3"
"3152","Solyc02g087580"," P1P2"," P1P2","P2P3","P2P3"
"3153","Solyc02g087600"," P1P2"," P1P2","P1P2","P2P3"
"3154","Solyc02g087610"," P1P2"," P2P3","P2P3","P1P2"
"3155","Solyc02g087620"," P1P2"," P1P2","P2P3","P1P2"
"3157","Solyc02g087640"," P1P2"," P1P2","P1P2","P1P2"
"3159","Solyc02g087710"," P1P2"," P1P2","P2P3","P1P3"
"3160","Solyc02g087720"," P1P2"," P1P2","P1P2","P1P3"
"3161","Solyc02g087730"," P1P2"," P1P2","P2P3","P1P2"
"3162","Solyc02g087740"," P1P2"," P1P2","P1P3","P1P2"
"3163","Solyc02g087750"," P1P2"," P1P2","P1P2","P2P3"
"3165","Solyc02g087770"," P1P2"," P1P2","P2P3","P2P3"
"3166","Solyc02g087780"," P1P2"," P2P3","P1P2","P1P3"
"3167","Solyc02g087800"," P1P2"," P1P2","P1P3","P1P2"
"3168","Solyc02g087850"," P1P2"," P1P2","P2P3","P1P2"
"3169","Solyc02g087870"," P1P2"," P1P2","P1P2","P1P2"
"3170","Solyc02g087880"," P1P2"," P1P2","P1P2","P1P2"
"3171","Solyc02g087900"," P1P2"," P1P2","P2P3","P2P3"
"3172","Solyc02g087950"," P1P2"," P1P2","P1P2","P2P3"
"3173","Solyc02g087980"," P1P2"," P1P2","P2P3","P1P2"
"3174","Solyc02g088000"," P1P2"," P1P2","P1P2","P2P3"
"3175","Solyc02g088010"," P1P2"," P2P3","P1P3","P1P2"
"3176","Solyc02g088040"," P1P2"," P1P2","P1P3","P1P2"
"3177","Solyc02g088070"," P1P2"," P1P2","P2P3","P1P3"
"3178","Solyc02g088090"," P1P2"," P1P2","P2P3","P1P3"
"3179","Solyc02g088110"," P1P2"," P2P3","P2P3","P2P3"
"3182","Solyc02g088120"," P1P2"," P2P3","P2P3","P2P3"
"3185","Solyc02g088190"," P1P2"," P1P2","P1P2","P1P2"
"3186","Solyc02g088200"," P1P2"," P1P2","P1P3","P2P3"
"3187","Solyc02g088210"," P1P2"," P1P2","P1P3","P1P3"
"3188","Solyc02g088220"," P1P2"," P1P2","P1P2","P2P3"
"3189","Solyc02g088260"," P1P2"," P1P2","P1P3","P1P2"
"3190","Solyc02g088280"," P1P2"," P2P3","P1P2","P2P3"
"3191","Solyc02g088300"," P1P2"," P1P2","P1P2","P1P2"
"3192","Solyc02g088340"," P1P2"," P1P2","P2P3","P1P2"
"3194","Solyc02g088350"," P1P2"," P2P3","P1P3","P1P2"
"3195","Solyc02g088390"," P1P2"," P1P2","P2P3","P2P3"
"3196","Solyc02g088460"," P1P2"," P1P2","P1P3","P2P3"
"3198","Solyc02g088480"," P1P2"," P1P2","P1P2","P2P3"
"3199","Solyc02g088490"," P1P2"," P1P2","P1P3","P1P2"
"3200","Solyc02g088510"," P1P2"," P1P2","P1P2","P1P2"
"3202","Solyc02g088530"," P1P2"," P1P2","P2P3","P2P3"
"3203","Solyc02g088540"," P1P2"," P1P2","P1P3","P1P2"
"3205","Solyc02g088570"," P1P2"," P1P2","P1P3","P2P3"
"3206","Solyc02g088590"," P1P2"," P1P2","P1P3","P1P3"
"3207","Solyc02g088600"," P1P2"," P1P2","P1P2","P1P2"
"3208","Solyc02g088610"," P1P2"," P1P2","P1P2","P2P3"
"3210","Solyc02g088630"," P1P2"," P1P2","P1P2","P1P2"
"3212","Solyc02g088660"," P1P2"," P1P2","P1P3","P2P3"
"3214","Solyc02g088700"," P1P2"," P1P2","P2P3","P2P3"
"3216","Solyc02g088720"," P1P2"," P1P2","P1P2","P1P2"
"3218","Solyc02g088740"," P1P2"," P1P2","P1P3","P2P3"
"3219","Solyc02g088780"," P1P2"," P1P2","P1P3","P1P2"
"3220","Solyc02g088790"," P1P2"," P1P2","P1P3","P2P3"
"3222","Solyc02g088900"," P1P2"," P1P3","P1P2","P1P2"
"3223","Solyc02g088910"," P1P2"," P1P2","P1P2","P1P2"
"3224","Solyc02g088920"," P1P2"," P1P2","P1P2","P1P3"
"3225","Solyc02g088930"," P1P2"," P1P2","P1P2","P2P3"
"3226","Solyc02g088940"," P1P2"," P1P2","P1P2","P1P3"
"3228","Solyc02g089010"," P1P2"," P1P2","P2P3","P2P3"
"3229","Solyc02g089060"," P1P2"," P1P2","P2P3","P2P3"
"3231","Solyc02g089070"," P1P2"," P1P2","P1P2","P1P3"
"3232","Solyc02g089100"," P1P2"," P1P2","P1P3","P1P2"
"3234","Solyc02g089150"," P1P2"," P1P2","P1P2","P2P3"
"3235","Solyc02g089160"," P1P2"," P1P2","P1P3","P2P3"
"3237","Solyc02g089200"," P1P2"," P1P2","P1P3","P1P3"
"3239","Solyc02g089220"," P1P2"," P1P2","P2P3","P1P2"
